Date,Pattern,Price,direction,breakout_close,resistance,volume_ratio,Figure,low1,low2,bounce_pct,micro_double,high1,high2,drop_pct,pole_move_pct,flag_avg_overlap,flag_inside_ratio
2022-09-09,Breakout,4064.5,up,4064.5,4327.5,1.0,figures/breakout_00357.png,,,,,,,,,,
2022-09-12,Double Top,4113.5,,,,,figures/double_top_00358.png,,,,none,4327.5,4206.25,6.34,,,
2022-09-15,Breakout,3923.25,down,3923.25,4327.5,1.0,figures/breakout_00361.png,,,,,,,,,,
2022-10-10,Breakout,3626.0,down,3626.0,4119.75,1.0,figures/breakout_00378.png,,,,,,,,,,
2022-10-21,Double Bottom,3765.25,,,,,figures/double_bottom_00387.png,3595.25,3502.0,9.08,none,,,,,,
2022-10-24,Breakout,3807.5,up,3807.5,4051.25,1.0,figures/breakout_00388.png,,,,,,,,,,
2022-10-25,Double Top,3850.25,,,,,figures/double_top_00389.png,,,,none,3981.25,3874.25,12.04,,,
2022-11-10,Breakout,3960.5,up,3960.5,3924.25,1.0,figures/breakout_00401.png,,,,,,,,,,
2022-11-22,Double Top,4009.25,,,,,figures/double_top_00409.png,,,,none,3924.25,4038.75,8.28,,,
2022-11-23,Breakout,4035.75,up,4035.75,4038.75,1.0,figures/breakout_00410.png,,,,,,,,,,
2022-11-28,Double Bottom,3972.5,,,,,figures/double_bottom_00412.png,3655.5,3750.0,7.35,none,,,,,,
2022-11-30,Breakout,4087.5,up,4087.5,4039.5,1.02,figures/breakout_00414.png,,,,,,,,,,
2022-12-06,Breakout,3943.75,down,3943.75,4110.0,1.02,figures/breakout_00418.png,,,,,,,,,,
2022-12-13,Breakout,4055.5,up,4055.5,4110.0,1.02,figures/breakout_00423.png,,,,,,,,,,
2022-12-13,Double Top,4055.5,,,,,figures/double_top_00423.png,,,,none,4038.75,4141.0,5.49,,,
2022-12-19,Double Bottom,3840.25,,,,,figures/double_bottom_00427.png,3750.0,3827.25,10.43,none,,,,,,
2023-01-03,Breakout,3839.5,up,3839.5,4141.0,1.02,figures/breakout_00436.png,,,,,,,,,,
2023-01-06,Breakout,3913.5,up,3913.5,4141.0,1.02,figures/breakout_00439.png,,,,,,,,,,
2023-01-12,Double Top,4004.5,,,,,figures/double_top_00443.png,,,,none,4141.0,4018.5,8.51,,,
